provider,state,insurance_type,coverage_level,monthly_rate,deductible,coverage_amount,customer_age_group,rating_factor,last_updated
Geico,CA,life,Standard,117.44,250,250000,51-65,1.24,2025-08-25
StateFarm,MI,health,Basic,267.77,1000,50000,36-50,1.16,2025-09-03
StateFarm,OH,home,Standard,342.57,250,50000,26-35,1.28,2025-08-31
Geico,OH,life,Standard,344.2,1000,250000,18-25,1.3,2025-08-31
StateFarm,GA,auto,Standard,106.56,500,100000,36-50,0.99,2025-08-30
Progressive,GA,auto,Basic,262.41,2500,100000,26-35,0.91,2025-09-13
Progressive,CA,auto,Standard,381.45,1000,50000,36-50,0.96,2025-08-29
Nationwide,FL,home,Standard,157.67,1000,500000,65+,1.03,2025-08-24
Nationwide,IL,health,Premium,80.68,250,50000,65+,1.22,2025-09-15
USAA,FL,home,Premium,272.89,2500,50000,36-50,1.25,2025-09-03
USAA,GA,life,Standard,148.44,1000,250000,26-35,0.92,2025-08-31
StateFarm,NC,auto,Premium,281.46,1000,50000,65+,0.98,2025-09-04
Allstate,OH,life,Standard,315.69,500,250000,18-25,1.4,2025-08-30
Liberty Mutual,GA,life,Standard,151.39,1000,500000,26-35,1.24,2025-09-12
Farmers,OH,life,Premium,200.19,1000,250000,18-25,1.05,2025-08-25
AmFam,NY,auto,Premium,304.93,1000,100000,65+,1.21,2025-09-08
StateFarm,TX,life,Premium,198.6,500,50000,51-65,1.12,2025-09-02
Geico,NY,health,Premium,365.58,500,50000,51-65,0.94,2025-09-03
Nationwide,IL,home,Basic,311.99,2500,100000,26-35,1.5,2025-08-22
Farmers,TX,home,Premium,216.19,1000,100000,36-50,0.91,2025-09-03
USAA,NC,auto,Basic,125.18,2500,500000,51-65,1.44,2025-09-09
Nationwide,TX,health,Premium,221.34,250,500000,26-35,1.2,2025-09-15
AmFam,TX,life,Premium,100.32,500,50000,65+,1.22,2025-09-08
StateFarm,CA,home,Basic,346.26,1000,50000,26-35,1.29,2025-09-06
StateFarm,NC,health,Standard,280.33,1000,500000,65+,1.27,2025-08-27
Geico,TX,health,Standard,201.06,2500,100000,36-50,1.2,2025-08-26
StateFarm,PA,home,Standard,395.73,250,50000,65+,0.89,2025-09-07
StateFarm,NY,auto,Basic,389.07,2500,500000,65+,1.4,2025-09-19
Liberty Mutual,NC,auto,Premium,182.19,2500,250000,18-25,0.86,2025-09-03
Travelers,PA,auto,Standard,295.14,2500,500000,26-35,0.94,2025-09-04
USAA,GA,home,Standard,354.39,250,250000,51-65,1.25,2025-09-15
AmFam,OH,home,Premium,345.9,250,100000,65+,1.01,2025-08-31
AmFam,OH,home,Standard,332.16,1000,250000,18-25,1.0,2025-08-29
Allstate,MI,life,Basic,295.46,2500,100000,36-50,1.38,2025-08-22
Progressive,NY,life,Standard,199.19,500,250000,26-35,1.47,2025-08-23
Progressive,CA,life,Basic,279.08,250,50000,36-50,1.09,2025-08-26
Geico,NC,home,Premium,274.35,500,500000,26-35,0.95,2025-09-04
Nationwide,NY,life,Basic,328.61,2500,250000,26-35,0.95,2025-09-13
Travelers,IL,home,Basic,385.38,500,500000,18-25,0.88,2025-08-23
Progressive,MI,life,Standard,373.81,2500,50000,36-50,1.32,2025-08-29
USAA,NY,home,Premium,86.89,250,250000,18-25,1.31,2025-08-23
USAA,GA,health,Premium,324.66,250,500000,26-35,1.11,2025-09-19
Travelers,CA,life,Premium,228.99,2500,250000,65+,1.26,2025-08-22
StateFarm,GA,home,Basic,332.69,1000,250000,65+,1.28,2025-08-31
Geico,NY,life,Standard,85.98,250,50000,65+,1.38,2025-08-26
Progressive,CA,auto,Premium,266.19,250,100000,51-65,1.44,2025-09-04
USAA,MI,health,Standard,249.83,2500,250000,26-35,1.47,2025-09-17
Nationwide,NY,health,Premium,296.69,250,50000,36-50,1.04,2025-09-18
StateFarm,OH,auto,Premium,287.98,250,250000,36-50,0.82,2025-08-24
Farmers,NY,health,Basic,330.45,250,500000,36-50,0.9,2025-08-24
Geico,MI,life,Basic,331.91,250,100000,26-35,1.2,2025-08-28
USAA,FL,auto,Basic,141.71,500,50000,51-65,1.12,2025-09-09
Progressive,CA,home,Premium,293.39,250,50000,51-65,1.2,2025-09-02
AmFam,NY,life,Premium,235.22,2500,250000,26-35,0.9,2025-08-25
Nationwide,IL,life,Basic,160.93,500,500000,26-35,0.96,2025-08-24
Travelers,NC,home,Basic,394.31,500,100000,36-50,1.24,2025-09-03
AmFam,PA,auto,Premium,204.03,1000,100000,36-50,0.95,2025-09-18
USAA,NY,home,Premium,143.47,2500,50000,36-50,1.37,2025-09-06
Nationwide,PA,auto,Standard,179.87,500,50000,51-65,0.88,2025-09-10
USAA,TX,health,Premium,353.73,2500,250000,36-50,0.86,2025-08-27
Travelers,PA,health,Basic,381.14,500,250000,36-50,1.31,2025-08-31
Allstate,OH,auto,Premium,265.46,250,100000,18-25,1.27,2025-08-24
Allstate,OH,home,Basic,342.59,1000,250000,26-35,0.84,2025-08-30
Progressive,OH,home,Standard,245.0,1000,500000,36-50,0.82,2025-08-23
USAA,GA,home,Basic,226.15,2500,250000,51-65,1.34,2025-08-22
Nationwide,NY,home,Premium,210.67,250,250000,65+,0.84,2025-09-05
Allstate,IL,life,Premium,84.78,250,250000,36-50,1.04,2025-09-17
Allstate,NY,auto,Standard,380.86,1000,500000,51-65,1.47,2025-09-08
Travelers,GA,health,Basic,186.76,1000,250000,36-50,1.11,2025-08-21
Progressive,CA,home,Premium,394.75,500,250000,26-35,1.26,2025-09-09
AmFam,PA,home,Basic,123.77,2500,500000,18-25,1.44,2025-09-01
Travelers,PA,life,Basic,280.46,250,250000,18-25,1.19,2025-08-25
Liberty Mutual,FL,home,Standard,263.9,250,100000,65+,1.29,2025-09-17
Travelers,GA,auto,Premium,169.62,500,250000,36-50,0.81,2025-08-28
AmFam,IL,home,Standard,325.26,1000,50000,26-35,1.1,2025-08-27
Farmers,TX,life,Premium,202.84,250,50000,18-25,1.5,2025-08-28
Progressive,PA,home,Basic,369.32,500,100000,65+,1.05,2025-08-21
Farmers,OH,home,Standard,296.13,1000,100000,65+,1.12,2025-08-27
Allstate,GA,life,Premium,104.14,250,100000,51-65,1.43,2025-08-31
Allstate,PA,health,Premium,395.64,1000,50000,65+,1.13,2025-08-22
USAA,TX,health,Basic,269.84,1000,250000,18-25,0.97,2025-09-13
StateFarm,OH,health,Basic,345.66,1000,250000,26-35,0.92,2025-08-30
Allstate,GA,home,Standard,357.18,2500,250000,36-50,0.97,2025-09-11
AmFam,GA,life,Premium,139.09,250,250000,36-50,0.9,2025-08-25
Nationwide,GA,auto,Standard,107.0,250,500000,36-50,1.28,2025-08-23
AmFam,NC,life,Premium,185.44,2500,250000,18-25,1.39,2025-09-14
Liberty Mutual,CA,life,Premium,361.35,2500,500000,36-50,0.99,2025-09-07
StateFarm,TX,home,Basic,182.71,250,100000,18-25,0.92,2025-08-30
Progressive,FL,health,Basic,293.85,500,50000,65+,1.05,2025-08-22
AmFam,PA,health,Standard,338.75,1000,100000,51-65,1.05,2025-08-26
Nationwide,GA,health,Standard,135.1,1000,250000,65+,1.23,2025-09-19
Allstate,GA,life,Premium,210.58,1000,50000,65+,0.89,2025-09-07
Geico,PA,auto,Standard,368.5,2500,50000,36-50,1.15,2025-09-03
Geico,NY,auto,Premium,99.0,1000,500000,51-65,1.0,2025-08-31
AmFam,OH,auto,Basic,330.35,250,50000,36-50,1.43,2025-08-24
USAA,TX,home,Standard,285.39,2500,500000,51-65,1.4,2025-08-29
Nationwide,FL,life,Basic,212.51,1000,100000,51-65,0.93,2025-08-29
Allstate,OH,auto,Standard,213.23,1000,50000,36-50,0.85,2025-08-29
Geico,NC,home,Standard,155.95,1000,500000,65+,1.46,2025-08-28
Farmers,MI,auto,Standard,383.91,2500,100000,65+,1.46,2025-08-31
Liberty Mutual,IL,home,Basic,210.45,500,100000,36-50,1.38,2025-09-07
Farmers,GA,auto,Standard,189.9,1000,250000,36-50,0.99,2025-08-30
StateFarm,NY,auto,Standard,348.17,1000,100000,18-25,1.47,2025-09-10
Nationwide,NC,auto,Basic,95.63,1000,50000,51-65,1.31,2025-08-24
AmFam,TX,home,Basic,113.77,500,500000,18-25,1.28,2025-09-01
StateFarm,PA,auto,Premium,277.22,1000,100000,36-50,1.38,2025-08-31
Nationwide,NY,auto,Standard,255.53,1000,100000,36-50,1.12,2025-09-13
AmFam,CA,home,Standard,88.36,1000,500000,51-65,1.02,2025-09-04
AmFam,TX,health,Premium,387.72,500,500000,65+,1.43,2025-08-30
Travelers,GA,health,Premium,388.53,1000,100000,18-25,0.85,2025-08-21
Progressive,NC,auto,Premium,319.94,2500,100000,65+,1.22,2025-08-24
Geico,TX,auto,Basic,292.15,2500,50000,36-50,0.87,2025-09-10
Progressive,FL,health,Basic,87.46,500,500000,65+,1.27,2025-09-03
StateFarm,FL,auto,Basic,166.44,500,100000,26-35,1.34,2025-09-04
Travelers,OH,home,Basic,136.99,500,500000,51-65,1.05,2025-08-31
Allstate,FL,auto,Premium,205.75,1000,500000,65+,0.9,2025-09-18
Nationwide,GA,home,Premium,239.53,500,500000,65+,1.47,2025-08-21
USAA,CA,health,Premium,268.02,2500,50000,36-50,1.08,2025-09-04
Allstate,MI,auto,Premium,82.01,2500,250000,26-35,0.84,2025-09-06
AmFam,IL,life,Basic,289.96,500,50000,26-35,1.08,2025-09-13
Geico,GA,health,Premium,336.68,250,250000,65+,1.43,2025-08-21
Travelers,OH,auto,Premium,262.05,500,500000,65+,1.35,2025-09-02
USAA,FL,auto,Premium,264.12,1000,250000,65+,1.12,2025-09-13
Travelers,GA,home,Basic,262.16,2500,500000,26-35,0.81,2025-09-05
Allstate,IL,home,Premium,192.18,250,500000,26-35,1.44,2025-09-18
Geico,MI,home,Basic,95.29,1000,50000,26-35,0.86,2025-09-08
Nationwide,TX,home,Basic,218.81,250,500000,26-35,0.96,2025-09-17
StateFarm,OH,life,Basic,312.65,2500,50000,18-25,1.42,2025-09-12
Progressive,FL,life,Basic,176.35,2500,100000,51-65,0.91,2025-09-04
Geico,NC,home,Premium,149.93,250,250000,26-35,1.36,2025-08-23
Travelers,PA,home,Standard,272.51,2500,500000,26-35,0.94,2025-08-21
Liberty Mutual,NY,health,Basic,130.74,500,100000,65+,1.23,2025-08-23
Travelers,NC,life,Basic,90.6,250,250000,65+,1.0,2025-09-05
Travelers,NC,health,Basic,315.89,2500,100000,26-35,1.42,2025-09-13
USAA,MI,life,Standard,131.53,500,100000,51-65,1.08,2025-09-03
Liberty Mutual,OH,health,Standard,255.99,1000,250000,26-35,0.95,2025-09-16
Farmers,MI,home,Premium,361.49,500,250000,65+,1.39,2025-09-05
Progressive,NY,health,Standard,119.5,500,500000,51-65,1.25,2025-08-25
Nationwide,GA,health,Premium,217.52,500,250000,36-50,1.39,2025-08-26
Travelers,NC,home,Premium,370.05,250,500000,18-25,1.23,2025-08-31
Travelers,NC,auto,Premium,93.87,500,250000,26-35,1.28,2025-08-24
Nationwide,NY,home,Premium,154.57,1000,250000,36-50,1.2,2025-08-21
Allstate,GA,auto,Standard,177.72,1000,100000,18-25,0.83,2025-09-01
Travelers,GA,health,Basic,129.38,1000,50000,65+,1.49,2025-08-28
Travelers,CA,home,Basic,100.09,2500,50000,51-65,1.47,2025-09-12
Travelers,CA,health,Standard,189.55,250,250000,36-50,1.07,2025-09-06
AmFam,FL,auto,Standard,310.94,2500,250000,36-50,1.12,2025-08-30
Progressive,TX,home,Basic,333.04,1000,250000,51-65,1.3,2025-09-15
Nationwide,FL,health,Premium,116.12,500,500000,65+,1.06,2025-08-29
Allstate,NC,health,Standard,360.19,2500,100000,51-65,0.86,2025-09-14
Liberty Mutual,IL,health,Premium,336.59,1000,500000,51-65,1.14,2025-08-30
USAA,TX,home,Basic,343.0,1000,250000,36-50,1.45,2025-09-16
Allstate,PA,health,Premium,221.88,2500,50000,26-35,1.09,2025-09-08
Nationwide,MI,home,Premium,314.35,2500,50000,51-65,1.21,2025-08-24
USAA,IL,home,Basic,131.21,2500,250000,36-50,1.08,2025-09-05
Nationwide,NC,health,Standard,347.38,2500,250000,51-65,0.8,2025-08-31
Liberty Mutual,NC,life,Basic,268.85,2500,250000,26-35,1.29,2025-08-22
USAA,GA,auto,Standard,241.16,500,250000,65+,1.41,2025-09-09
Progressive,MI,home,Standard,307.57,250,50000,36-50,0.92,2025-08-31
Nationwide,CA,health,Basic,287.46,250,500000,26-35,1.07,2025-09-02
Progressive,FL,home,Standard,328.11,2500,500000,51-65,1.02,2025-09-14
Travelers,OH,home,Standard,311.12,1000,100000,65+,0.81,2025-08-24
Progressive,GA,health,Premium,342.36,1000,250000,26-35,1.44,2025-09-15
USAA,FL,auto,Premium,250.18,1000,100000,51-65,1.27,2025-09-01
AmFam,MI,auto,Basic,284.62,250,50000,18-25,1.37,2025-09-03
Farmers,NC,health,Premium,122.77,250,500000,65+,0.81,2025-08-22
Nationwide,IL,home,Premium,108.04,250,250000,26-35,1.4,2025-09-12
Farmers,TX,health,Basic,194.52,250,50000,26-35,1.22,2025-08-30
Nationwide,CA,auto,Premium,102.15,1000,250000,36-50,1.13,2025-09-04
Farmers,GA,home,Standard,80.72,2500,500000,36-50,1.22,2025-09-10
Farmers,TX,auto,Basic,191.15,1000,100000,36-50,1.31,2025-09-08
USAA,IL,life,Premium,399.04,250,500000,51-65,0.93,2025-08-24
Nationwide,FL,health,Basic,210.56,500,50000,65+,1.13,2025-09-04
Nationwide,PA,health,Basic,363.81,500,250000,36-50,1.31,2025-08-26
USAA,CA,home,Standard,328.93,1000,500000,26-35,1.27,2025-09-06
Farmers,OH,auto,Standard,219.42,500,100000,51-65,1.15,2025-09-12
Geico,NY,life,Basic,223.63,2500,500000,51-65,1.46,2025-09-15
Allstate,CA,auto,Standard,210.49,2500,500000,18-25,1.5,2025-08-21
Progressive,NY,auto,Premium,283.33,250,500000,65+,1.49,2025-09-19
Nationwide,PA,auto,Standard,204.57,500,500000,51-65,1.38,2025-08-22
Liberty Mutual,NC,auto,Premium,222.87,250,250000,26-35,1.19,2025-09-04
USAA,IL,home,Standard,142.09,500,100000,36-50,1.47,2025-08-27
Nationwide,NC,health,Basic,339.34,500,500000,36-50,0.98,2025-08-21
USAA,FL,auto,Standard,118.7,500,250000,36-50,1.4,2025-08-27
Progressive,NC,auto,Standard,135.47,1000,500000,18-25,1.34,2025-08-22
Allstate,FL,life,Standard,87.17,1000,100000,26-35,1.43,2025-09-18
Travelers,PA,home,Standard,122.19,250,50000,36-50,0.8,2025-09-13
Nationwide,PA,health,Basic,122.74,2500,50000,65+,1.09,2025-09-02
Geico,MI,life,Basic,161.42,250,100000,65+,1.27,2025-08-22
Farmers,OH,life,Premium,215.73,1000,500000,51-65,0.97,2025-09-13
Allstate,FL,life,Standard,171.51,1000,250000,26-35,1.46,2025-08-21
Progressive,NY,home,Premium,208.88,500,50000,18-25,1.19,2025-09-14
Geico,GA,life,Premium,252.64,1000,500000,26-35,1.13,2025-09-13
USAA,MI,health,Premium,88.48,500,50000,26-35,1.16,2025-09-09
StateFarm,FL,health,Basic,365.05,500,100000,18-25,1.34,2025-09-14
Allstate,FL,home,Premium,118.43,1000,250000,36-50,1.41,2025-09-18
Progressive,OH,health,Basic,104.92,2500,250000,36-50,1.44,2025-09-01
Travelers,PA,auto,Basic,143.61,500,500000,36-50,1.18,2025-08-22
Travelers,FL,home,Premium,145.37,250,500000,36-50,1.33,2025-09-03
Liberty Mutual,FL,life,Premium,358.19,1000,250000,65+,1.43,2025-08-25
Travelers,FL,auto,Premium,215.07,250,50000,36-50,1.29,2025-08-21
Geico,OH,home,Basic,176.24,250,250000,18-25,1.33,2025-08-22
Travelers,NC,auto,Basic,182.87,2500,100000,26-35,1.18,2025-09-11
Farmers,NC,health,Standard,241.35,500,250000,26-35,1.43,2025-09-13
Liberty Mutual,MI,home,Premium,227.66,500,500000,51-65,1.35,2025-08-21
USAA,IL,health,Basic,227.02,1000,100000,26-35,1.14,2025-09-08
Liberty Mutual,NY,home,Premium,98.77,500,100000,36-50,0.95,2025-09-10
Travelers,MI,auto,Standard,214.52,500,50000,51-65,1.14,2025-09-17
Liberty Mutual,MI,health,Basic,398.54,1000,500000,18-25,1.49,2025-08-22
StateFarm,TX,auto,Premium,94.34,500,100000,26-35,1.19,2025-09-04
StateFarm,NY,home,Basic,294.99,2500,500000,26-35,1.16,2025-09-14
Farmers,TX,health,Premium,142.72,250,250000,51-65,1.01,2025-09-04
Farmers,GA,auto,Basic,137.04,2500,500000,18-25,1.45,2025-09-11
Progressive,NY,health,Basic,218.2,1000,500000,51-65,0.86,2025-09-19
Farmers,IL,life,Premium,347.5,1000,100000,18-25,1.05,2025-09-13
StateFarm,FL,home,Standard,314.19,500,100000,65+,1.31,2025-09-06
StateFarm,NY,home,Premium,112.74,250,50000,65+,1.39,2025-09-08
Travelers,IL,auto,Standard,113.11,250,100000,26-35,1.12,2025-08-22
Allstate,GA,health,Standard,282.07,250,50000,51-65,1.19,2025-09-05
AmFam,MI,home,Basic,360.59,500,50000,51-65,1.31,2025-09-08
Allstate,CA,health,Premium,83.29,2500,500000,51-65,0.94,2025-08-26
Farmers,PA,home,Premium,116.92,1000,100000,26-35,1.37,2025-08-27
Nationwide,PA,auto,Basic,256.32,1000,250000,36-50,0.9,2025-08-23
Travelers,NY,health,Standard,243.68,250,50000,51-65,1.06,2025-09-05
Farmers,PA,health,Basic,231.43,250,250000,36-50,1.11,2025-09-03
AmFam,TX,life,Standard,185.47,250,100000,36-50,1.29,2025-08-23
Farmers,PA,life,Premium,163.85,2500,250000,18-25,1.33,2025-08-31
Geico,IL,health,Basic,229.3,1000,250000,51-65,1.26,2025-09-13
Geico,GA,auto,Standard,127.8,250,250000,36-50,0.93,2025-09-10
Allstate,OH,auto,Basic,377.52,1000,50000,18-25,1.3,2025-09-18
Progressive,MI,life,Premium,386.59,250,50000,18-25,0.97,2025-09-06
USAA,NY,home,Standard,265.38,250,100000,26-35,1.03,2025-09-05
AmFam,IL,health,Basic,237.49,250,50000,65+,1.45,2025-09-04
Geico,FL,life,Premium,89.21,2500,100000,65+,1.34,2025-08-27
Geico,NY,health,Premium,131.18,250,250000,18-25,1.24,2025-09-08
Travelers,NC,auto,Standard,237.48,250,100000,26-35,1.47,2025-09-07
Nationwide,GA,life,Standard,338.36,500,100000,26-35,1.38,2025-09-08
Geico,FL,home,Basic,227.98,500,500000,36-50,1.48,2025-09-15
Farmers,TX,health,Premium,300.9,500,100000,18-25,1.15,2025-09-09
Farmers,OH,home,Basic,352.75,250,100000,65+,1.24,2025-08-29
Geico,PA,auto,Standard,266.89,2500,50000,26-35,1.1,2025-08-27
Nationwide,IL,home,Standard,137.33,1000,500000,51-65,1.45,2025-08-25
Allstate,MI,auto,Basic,244.76,1000,50000,65+,1.06,2025-09-03
Travelers,MI,health,Basic,383.1,2500,250000,36-50,0.81,2025-09-19
StateFarm,NY,home,Basic,162.84,2500,500000,51-65,1.4,2025-09-14
Liberty Mutual,FL,home,Basic,363.33,2500,250000,65+,0.93,2025-09-07
AmFam,GA,auto,Premium,225.32,250,500000,36-50,1.13,2025-09-17
Allstate,IL,health,Premium,107.39,500,100000,51-65,1.4,2025-09-17
StateFarm,IL,health,Standard,182.92,1000,500000,18-25,0.81,2025-09-09
Progressive,TX,health,Basic,280.28,2500,50000,65+,1.44,2025-09-09
AmFam,GA,home,Premium,358.18,500,250000,26-35,0.89,2025-08-28
USAA,PA,life,Premium,121.82,1000,100000,36-50,1.18,2025-08-24
Geico,IL,health,Standard,288.71,500,500000,65+,1.12,2025-09-09
Liberty Mutual,GA,auto,Premium,274.69,1000,50000,18-25,0.81,2025-09-09
Travelers,MI,auto,Basic,212.08,250,250000,51-65,0.82,2025-08-22
AmFam,FL,home,Premium,209.6,1000,50000,18-25,1.14,2025-09-08
Geico,FL,life,Basic,385.41,2500,250000,51-65,1.4,2025-09-14
Nationwide,MI,auto,Premium,268.36,250,100000,65+,1.31,2025-08-25
Farmers,PA,health,Basic,327.66,500,500000,65+,0.97,2025-09-19
Allstate,CA,home,Basic,298.52,1000,250000,36-50,1.26,2025-08-26
Allstate,CA,home,Premium,362.47,2500,500000,36-50,1.16,2025-09-15
Nationwide,GA,life,Basic,227.35,1000,50000,18-25,0.96,2025-09-03
Progressive,PA,auto,Premium,293.16,1000,500000,65+,1.37,2025-08-22
StateFarm,MI,auto,Premium,217.81,2500,50000,36-50,1.1,2025-09-11
Progressive,CA,home,Premium,118.3,1000,500000,26-35,1.17,2025-09-06
Allstate,OH,life,Premium,294.35,250,500000,36-50,1.2,2025-09-19
Nationwide,NY,life,Standard,104.23,1000,500000,51-65,1.28,2025-09-09
Farmers,OH,auto,Standard,154.34,250,100000,51-65,1.01,2025-08-24
AmFam,MI,auto,Premium,170.42,1000,50000,36-50,1.39,2025-09-14
AmFam,FL,home,Standard,169.26,1000,250000,65+,0.85,2025-08-25
AmFam,IL,home,Premium,116.25,2500,50000,51-65,1.32,2025-09-07
Geico,NY,health,Basic,383.98,1000,500000,65+,1.3,2025-09-19
Geico,FL,auto,Basic,105.8,1000,250000,18-25,1.3,2025-09-06
Nationwide,NY,home,Premium,192.15,2500,50000,51-65,1.21,2025-08-30
Allstate,GA,home,Basic,115.09,2500,500000,18-25,0.86,2025-08-21
Geico,PA,life,Basic,236.65,500,250000,26-35,0.98,2025-09-05
Farmers,OH,life,Standard,364.22,2500,500000,18-25,1.44,2025-09-13
Nationwide,PA,life,Premium,284.45,500,100000,51-65,1.32,2025-09-04
Progressive,NC,home,Basic,367.34,500,500000,26-35,1.49,2025-09-06
Geico,CA,home,Basic,104.96,1000,100000,26-35,1.34,2025-09-07
StateFarm,IL,health,Standard,280.38,250,500000,36-50,1.13,2025-09-12
Geico,FL,life,Standard,243.99,500,100000,36-50,1.08,2025-09-18
AmFam,IL,home,Basic,362.67,500,100000,65+,1.3,2025-08-25
Farmers,TX,auto,Standard,323.84,2500,100000,36-50,0.85,2025-09-15
Progressive,MI,home,Basic,257.54,2500,50000,65+,0.87,2025-09-18
Travelers,PA,health,Basic,244.51,2500,50000,26-35,1.38,2025-09-08
StateFarm,CA,home,Basic,310.8,250,250000,36-50,1.24,2025-09-10
USAA,MI,health,Premium,82.3,2500,250000,65+,1.45,2025-08-21
Nationwide,NC,health,Premium,345.04,2500,250000,36-50,1.46,2025-09-11
Liberty Mutual,IL,life,Premium,348.14,2500,100000,18-25,1.37,2025-09-19
Progressive,MI,auto,Premium,147.82,250,50000,51-65,0.96,2025-08-22
Farmers,OH,life,Basic,122.09,500,250000,18-25,1.11,2025-08-29
Farmers,TX,health,Standard,280.44,250,500000,36-50,1.37,2025-09-07
Travelers,FL,health,Premium,182.63,500,50000,51-65,1.12,2025-08-23
Progressive,GA,home,Premium,143.11,250,50000,51-65,1.3,2025-09-18
Geico,TX,auto,Premium,294.11,1000,100000,51-65,1.04,2025-09-18
StateFarm,NC,home,Premium,360.9,1000,50000,65+,1.23,2025-09-02
Allstate,MI,home,Standard,354.08,250,500000,65+,1.33,2025-09-16
Farmers,TX,life,Premium,367.88,500,500000,26-35,1.02,2025-09-13
